type;id;name;gender
;;Im Wiesengrund;
;;Im Winkel;
;;In der Badestube;
;;In der Gemoll;
;;In der Görtzbach;
;;In der Hohl;
;;In der Knutzbach;
;;In der Struth;
;;In der Wann;
;;Industriestraße;
;;Jägerstraße;
;Q362739;Jahnstraße;m
;Q64531;Jakob-Kaiser-Straße;m
;;Jakobsgasse;
;;Jenaer Weg;
;-;Johann‑Konrad‑Schäfer‑Straße;m
;Q15491153;Johanna-Wyttenbach-Weg;w
;-;Johannes‑Acker‑Straße;m
;-;Johannes‑Erb‑Weg;m
;Q1698072;Johannes‑Müller‑Straße;m
;;Johannesgasse;
;-;Kaffweg;-
;;Kämpfrasen;
;Q9312;Kantstraße;m
;-;Kappesgasse;-
;Q131603290;Karl‑Doerbecker‑Straße;m
;Q1455473;Karl‑Justi‑Straße;m
;-;Karl‑Müller‑Straße;m
;Q60060;Karl‑von‑Frisch‑Straße;m
;;Karlsbader Weg;
;;Karmelitergasse;""+""
;;Kastanienstraße;
;Q137723639;Katharina-Eitel-Weg;w
;;Kellerwaldstraße;
;Q61195;Kerschensteinerstraße;m
;Q626805;Kettelerstraße;m
;-;Ketzerbach;-
;;Kiefernweg;
;;Kiliansgasse;
;;Kirchgasse;
;;Kirchgraben;
;;Kirchspitze;
;;Kirchstraße;
;;Kirchweg;
;;Kleine Ortenberggasse;
;Q28494;Kleistweg;m
;;Köhlersgrundgasse;
;;Kohlwaldweg;
;Q60619;Kolpingstraße;m
;;Königsberger Straße;
;;Königsberger Weg;
;;Königstraße;
;-;Konrad-Baier-Weg;m
;-;Konrad‑Laucht‑Weg;m
;;Kornbergweg;
;;Körnerstraße;
;;Kornmarkt;
;;Krähenweg;
;;Krebsgasse;
;;Kreutzacker;
;;Kreuzweg;
;-;Krummbogen;-
;Q736039;Kugelgasse;""+""
;;Kuhnsgasse;
;;Lahnbergstraße;
;;Lahnblick;
;;Lahnstraße;
;-;Lahntor;-
;Q169319;Landgraf‑Philipp‑Straße;m
;;Landgrafenweg;
;;Langewiesenweg;
;-;Langgasse;-
;;Lärchenweg;
;-;Leckergäßchen;-
;;Leipziger Straße;
;;Leiserweg;
;Q84280;Lenaustraße;m
;Q1819748;Leopold‑Lucas‑Straße;m
;Q34628;Lessingstraße;m
;;Lichtweg;
;Q16571;Liebigstraße;m
;;Lilienstraße;
;;Lindenplatz;
;;Lindenweg;
;-;Lingelgasse;-
;;Lintzingsweg;
;;Lippersbach;
;;Löchels Gäßchen;
;;Lohgarten;
;;Lohgasse;
;;Lönsweg;
;Q131695604;Louisa-Biland-Platz;w
;Q1874222;Ludwig-Bickell‑Treppe;m
;Q1874624;Ludwig‑Juppe‑Weg;m
;Q1876601;Luise-Berthold-Straße;w
;-;Lutherischer Kirchhof;-
;Q9554;Lutherstraße;m
;;Magdeburger Straße;
;;Mainzer Gasse;-
;-;Mansaley-Kobba-Weg;m
;;Marbacher Weg;
;;Marburger Straße;
;;Mariborer Straße;
;Q29167866;Marie‑Louise‑Hensel‑Weg;w
;;Markt;
;;Marktgasse;
;;Markthöhe;
;;Mauerstraße;
;;Mecklenburger Straße;
;;Meisenweg;
;;Mengelsgasse;
;;Metzgergasse;
;;Michelbacher Straße;
;;Minksweg;
;;Mittelhausen;
;;Mittelweg;
;;Moischter Straße;
;;Molkereistraße;
;;Mönchwaldstraße;
;Q63699;Mörikestraße;m
;Q254;Mozartstraße;m
;;Mühlbachweg;
;;Mühlenbergstraße;
;;Mühltreppe;
;;Mühlweg;
;;Muldenweg;
;;Nelkenweg;
;;Nesselberg;
;;Nesselbrunner Straße;
;;Neue Kasseler Straße;
;;Neue Straße;
;;Neuhöfe;
;;Neustadt;
;;Nibelungenweg;
;;Niederweimarer Straße;
;;Nikolaistraße;""+""
;;Nonnengasse;
;;Nonnhäuser Weg;
;;Oberdorf;
;;Oberer Eichweg;
;;Oberer Rotenberg;
;;Oberfeld;
;;Oberweg;
;;Ockershäuser Allee;
;;Ockershäuser Schulgasse;
;;Ockershäuser Straße;
;;Odenwaldstraße;
;;Ohmweg;
;;Ortenbergplatz;-
;Q77173;Otto-Loewi-Straße;m
;;Pappelweg;
;Q41223;Pasternakstraße;m
;Q57089;Paul‑Ehrlich‑Weg;m
;Q76504;Paul‑Natorp‑Straße;m
;;Pernsdörfer;
;Q105428;Pestalozzistraße;m
;;Pfaffenberg;
;;Pfarracker;
;;Pfingstweide;
;;Pflanzgarten;
;;Pilgrimstein;
;;Plantage;
;Q153364;Platz der Weißen Rose;""+""
;;Platzgasse;
;;Poitiers-Straße;
;;Pommernweg;
;;Posener Straße;
;;Potsdamer Straße;
;;Quellweg;
;;Rabenwiese;
;Q123334;Radestraße;m
;;Raiffeisenstraße;
;;Rehbocksecke;
;;Reinhardswaldstraße;
;;Reitgasse;
;;Renthof;
;;Rentmeisterstraße;
;Q213561;Reutergasse;m
;Q105944;Richard‑Hamann‑Weg;m
;Q76483;Rilkeweg;m
;;Rimbergstraße;
;;Ringstraße;
;;Rinnacker;
;;Rinnweg;
;;Risberg;
;;Ritterstraße;
;Q37193;Robert‑Koch‑Straße;m
;;Rodsweg;
;;Rollwiesenweg;
;;Ronhäuser Straße;
;;Rosenbusch;
;;Rosengarten;
;;Rosenstraße;
;;Roßdorfer Straße;
;;Roßgarten;
;;Rostocker Weg;
;;Rotdornweg;
;;Rote Hohl;
;;Rotenberg;
;;Roter Graben;
;;Roter Hof;
;;Rübengasse;
;;Rübenstein;
;Q60644;Rückertweg;m
;Q70890;Rudolf-Breitscheid-Straße;m
;Q76327;Rudolf‑Bultmann‑Straße;m
;Q15449141;Rudolf‑Klapp‑Straße;m
;Q5535640;Rudolphsplatz;m
;;Sachsenring;
;;Salegrund;
;;Salzköppel;
;;Sandweg;
;Q298845;Sankt‑Florian‑Straße;m
;Q133704;Sankt‑Martin‑Straße;m
;;Sauersgäßchen;
;Q76892;Savignystraße;m
;;Schenkendorfweg;
;;Scheppe Gewissegasse;
;;Schieferweg;
;Q22670;Schillerstraße;m
;;Schlehdornweg;
;;Schloß;
;;Schlosserstraße;
;;Schloßsteig;
;;Schloßtreppe;
;;Schmalwiesenweg;
;;Schmiedeacker;
;;Schneidersberg;
;;Schönbacher Weg;
;;Schröcker Straße;
;;Schubbelackerweg;
;Q7312;Schubertstraße;m
;Q74745;Schückingstraße;m
;;Schuhmarkt;
;;Schulstraße;
;;Schützenstraße;
;;Schwalbenweg;
;-;Schwanallee;m
;;Schwarzenbornweg;
;;Seelheimer Weg;
;;Sfaxer Straße;
;;Siedlerweg;
;Q58577;Siemensstraße;m
;;Simmesackerstraße;
;;Simmestraße;
;;Software-Center;
;;Sommerbadstraße;
;;Sommerstraße;
;;Sonnenblickallee;
;;Sonnenhang;
;;Sonnenweg;
;;Sonnhalde;
;Q70840;Sophie‑von‑Brabant‑Weg;w
;;Sperberweg;
;Q1716889;Spiegelslust;m
;Q1716889;Spiegelslustweg;m
;;Stadtwaldstraße;
;;Steinacker;
;;Steinborn;
;;Steinfeldstraße;
;;Steingasse;
;;Steinküppel;
;;Steinmühlenweg;
;;Steinnorr;
;;Steinrücken;
;;Steinweg;
;-;Stephan‑Niderehe‑Straße;m
;;Sterzhäuser Straße;
;;Stettiner Straße;
;;Stiefelgasse;
;;Stiftstraße;
;;Stöckelsbergweg;
;;Stocksgrund;
;Q103955;Stresemannstraße;m
;;Stümpelstal;
;;Sudetenstraße;
;Q65600;Sybelstraße;m
;Q214620;Sylvester‑Jordan‑Straße;m
;-;Tada-Urata-Platz;w
;;Tannenweg;
;;Taubenweg;
;-;Tawara-Aschoff-Knoten;w
;;Am Fernheizwerk;-
;;Teichweg;
;;Teichwiesengraben;
;;Teichwiesenweg;
;Q94880435;Temmlerstraße;m
;;Thüringer Straße;
;;Tilsiter Straße;
;Q1320168;Tischbeinweg;m
;Q21032817;Tom-Mutters-Straße;m
;;Tonberg;
;;Treisbachweg;
;Q7154076;Trojedamm;m
;;Tulpenstraße;
;Q975596;Ubbelohdestraße;m
;;Über dem Grund;
;;Über der Kirch;
;;Uferstraße;
;;Uhlandstraße;
;;Ulmenweg;
;;Umgehungsstraße;
;;Universitätsstraße;
;;Unter dem Gedankenspiel;
;;Unter den Eichen;
;;Unter den Steinbrüchen;
;;Unterer Eichweg;
;;Unterer Ohmweg;
;;Untergasse;
;;Vinzentinerinnenweg;
;;Violastraße;
;;Vogelsbergstraße;
;Q164699;von‑Harnack‑Straße;m
;-;von‑Keitz‑Straße;m
;;Wacholderberg;
;;Waidmannsweg;
;;Wäldchesborn;
;;Waldeck;
;;Waldweg;
;;Wannkopfstraße;
;;Wartburgstraße;
;;Wehracker;
;;Wehrdaer Straße;
;;Wehrdaer Weg;
;;Wehrshäuser Straße;
;;Weidenbornstraße;
;;Weidenbrunkel;
;;Weidenhäuser Straße;
;;Gerbergäßchen;
;;Weidenstamm;
;;Weimarer Weg;
;;Weinbergstraße;
;;Weinküppel;
;Q139172266;Weintrautstraße;m
;;Weißdornweg;
;;Weitershäuser Straße;
;;Wendelgasse;
;Q64634;Werderstraße;m
;-;Werner-Karry-Weg;m
;;Westerwaldstraße;
;;Wettergasse;
;;Wickegarten;
;;Wickelborn;
;;Wieselacker;
;;Wiesenaue;
;;Wiesentalweg;
;;Wiesenweg;
;Q111325;Wilhelm‑Busch‑Straße;m
;Q60647;Wilhelm‑Raabe‑Weg;m
;Q62444;Wilhelm‑Röpke‑Straße;m
;Q87211;Wilhelm‑Roser‑Straße;m
;Q150652;Wilhelmsplatz;m
;Q150652;Wilhelmstraße;m
;-;Willi-Weitzel-Weg;m
;;Willy-Sage-Platz;m
;-;Willy‑Mock‑Straße;m
;;Wittelsberger Straße;
;;Wittenberger Weg;
;Q76510;Wolffstraße;m
;;Wolfshäuser Straße;
;;Zelterstraße;
;Q75780;Zeppelinstraße;m
;;Ziegelstraße;
;;Zimmermannstraße;
;;Zimmerplatzweg;
;;Zu den Sandbeeten;
;;Zückenberg;
;;Zum Dankersbühl;
;;Zum Eisenberg;
;;Zum Elisabethbrunnen;
;;Zum Elnhäuser Grund;
;;Zum Heiligenberg;
;;Zum Himmrich;
;;Zum Hirtzborn;
;;Zum Hohen Küppel;
;;Zum Kalkberg;
;;Zum Lahnberg;
;;Zum Marienhäuschen;
;;Zum Neuen Hieb;
;;Zum Pfaffengrund;
;;Zum Rosenmorgen;
;;Zum Runden Baum;
;;Zum Steinbruch;
;;Zum Stempel;
;;Zum Waldwinkel;
;;Zum Wallgraben;
;;Zur Aue;
;;Zur Bergwiese;
;;Zur Birke;
;;Zur Burgruine;
;;Zur Fasanerie;
;;Zur Feldscheune;
;;Zur Hainbuche;
;;Zur Hainseite;
;;Zur Hege;
;;Zur Kalkkaute;
;;Zur Kaute;
;;Zur Klause;
;;Zur Krahna;
;;Zur Lahnaue;
;;Zur Molle;
;;Zur Wann;
;;Zur Wehrholzseite;
;;Zur Weinstraße;
;;Zwetschenweg;
;;Zwischenhausen;
