name;source;gender;wikidata;type
Oberweg;;;;
Ockershäuser Allee;;;;
Ockershäuser Schulgasse;;;;
Ockershäuser Straße;;;;
Odenwaldstraße;;;;
Ohmweg;;;;
Ortenbergplatz;;-;;
Pappelweg;;;;
Pernsdörfer;;;;
Pfaffenberg;;;;
Pfarracker;;;;
Pfingstweide;;;;
Pflanzgarten;;;;
Pilgrimstein;;;;
Plantage;;;;
Platzgasse;;;;
Poitiers-Straße;;;;
Pommernweg;;;;
Posener Straße;;;;
Potsdamer Straße;;;;
Quellweg;;;;
Rabenwiese;;;;
Raiffeisenstraße;;;;
Rehbocksecke;;;;
Reinhardswaldstraße;;;;
Reitgasse;;;;
Renthof;;;;
Rentmeisterstraße;;;;
Rimbergstraße;;;;
Ringstraße;;;;
Rinnacker;;;;
Rinnweg;;;;
Risberg;;;;
Ritterstraße;;;;
Rodsweg;;;;
Rollwiesenweg;;;;
Ronhäuser Straße;;;;
Rosenbusch;;;;
Rosengarten;;;;
Rosenstraße;;;;
Roßdorfer Straße;;;;
Roßgarten;;;;
Rostocker Weg;;;;
Rotdornweg;;;;
Rote Hohl;;;;
Rotenberg;;;;
Roter Graben;;;;
Roter Hof;;;;
Rübengasse;;;;
Rübenstein;;;;
Sachsenring;;;;
Salegrund;;;;
Salzköppel;;;;
Sandweg;;;;
Sauersgäßchen;;;;
Schenkendorfweg;;;;
Scheppe Gewissegasse;;;;
Schieferweg;;;;
Schlehdornweg;;;;
Schloß;;;;
Schlosserstraße;;;;
Schloßsteig;;;;
Schloßtreppe;;;;
Schmalwiesenweg;;;;
Schmiedeacker;;;;
Schneidersberg;;;;
Schönbacher Weg;;;;
Schröcker Straße;;;;
Schubbelackerweg;;;;
Schuhmarkt;;;;
Schulstraße;;;;
Schützenstraße;;;;
Schwalbenweg;;;;
Schwarzenbornweg;;;;
Seelheimer Weg;;;;
Sfaxer Straße;;;;
Siedlerweg;;;;
Simmesackerstraße;;;;
Simmestraße;;;;
Software-Center;;;;
Sommerbadstraße;;;;
Sommerstraße;;;;
Sonnenblickallee;;;;
Sonnenhang;;;;
Sonnenweg;;;;
Sonnhalde;;;;
Sperberweg;;;;
Stadtwaldstraße;;;;
Steinacker;;;;
Steinborn;;;;
Steinfeldstraße;;;;
Steingasse;;;;
Steinküppel;;;;
Steinmühlenweg;;;;
Steinnorr;;;;
Steinrücken;;;;
Steinweg;;;;
Sterzhäuser Straße;;;;
Stettiner Straße;;;;
Stiefelgasse;;;;
Stiftstraße;;;;
Stöckelsbergweg;;;;
Stocksgrund;;;;
Stümpelstal;;;;
Sudetenstraße;;;;
Tannenweg;;;;
Taubenweg;;;;
Teichweg;;;;
Teichwiesengraben;;;;
Teichwiesenweg;;;;
Thüringer Straße;;;;
Tilsiter Straße;;;;
Tonberg;;;;
Treisbachweg;;;;
Tulpenstraße;;;;
Über dem Grund;;;;
Über der Kirch;;;;
Uferstraße;;;;
Uhlandstraße;;;;
Ulmenweg;;;;
Umgehungsstraße;;;;
Universitätsstraße;;;;
Unter dem Gedankenspiel;;;;
Unter den Eichen;;;;
Unter den Steinbrüchen;;;;
Unterer Eichweg;;;;
Unterer Ohmweg;;;;
Untergasse;;;;
Vinzentinerinnenweg;;;;
Violastraße;;;;
Vogelsbergstraße;;;;
Wacholderberg;;;;
Waidmannsweg;;;;
Wäldchesborn;;;;
Waldeck;;;;
Waldweg;;;;
Wannkopfstraße;;;;
Wartburgstraße;;;;
Wehracker;;;;
Wehrdaer Straße;;;;
Wehrdaer Weg;;;;
Wehrshäuser Straße;;;;
Weidenbornstraße;;;;
Weidenbrunkel;;;;
Weidenhäuser Straße;;;;
Weidenstamm;;;;
Weimarer Weg;;;;
Weinbergstraße;;;;
Weinküppel;;;;
Weißdornweg;;;;
Weitershäuser Straße;;;;
Wendelgasse;;;;
Westerwaldstraße;;;;
Wettergasse;;;;
Wickegarten;;;;
Wickelborn;;;;
Wieselacker;;;;
Wiesenaue;;;;
Wiesentalweg;;;;
Wiesenweg;;;;
